"ID","Work Item Type","Title","Epic","Feature","Parent ID","Description","Acceptance Criteria","Priority","Release","Story Points","Dependencies","Labels"
"PG-057","Feature","Plan Tracking","Study Plans","Plan Tracking","PG-054","Feature under Study Plans","","","","","","feature"
"PG-058","Story","Track plan tasks","Study Plans","Plan Tracking","PG-057","As a student, I want to check off and track my study-plan tasks, so that I stay accountable.","Plan items have status pending/done/skipped | Completion updates progress and feeds the dashboard","High","Fast-Follow","3","Plan Generation","studyplan;fast-follow"
"PG-059","Epic","AI Credits & Cost Governance","AI Credits & Cost Governance","","","The ledger, allocation, purchase and margin controls behind all AI usage.","","","","","","epic"
"PG-060","Feature","Credit Ledger","AI Credits & Cost Governance","Credit Ledger","PG-059","Feature under AI Credits & Cost Governance","","","","","","feature"
"PG-061","Story","Maintain a credit ledger","AI Credits & Cost Governance","Credit Ledger","PG-060","As a platform, I want to track all AI consumption in an append-only, double-spend-safe ledger, so that AI usage is auditable and safe.","Append-only transactions (grant/reserve/commit/release/purchase/refund/reset) | Balance and reserved amounts tracked accurately | select_for_update prevents double-spend under concurrency | Amounts use NUMERIC, never float","Highest","MVP","5","PostgreSQL; ai_gateway","credits;ai;mvp"
"PG-062","Story","See my credit balance","AI Credits & Cost Governance","Credit Ledger","PG-060","As a user, I want to see my credit balance and consumption, so that I can manage my AI usage.","Balance and monthly consumption shown | Per-operation breakdown available","High","Fast-Follow","2","Credit Ledger","credits;fast-follow"
"PG-063","Feature","Allocation, Purchase & Margin","AI Credits & Cost Governance","Allocation, Purchase & Margin","PG-059","Feature under AI Credits & Cost Governance","","","","","","feature"
"PG-064","Story","Allocate & reset monthly credits","AI Credits & Cost Governance","Allocation, Purchase & Margin","PG-063","As a platform, I want to allocate plan credits and reset them on schedule, so that user entitlement is clear and predictable.","Allocation per plan applied | Monthly reset runs via Celery beat | Reset and grants recorded in the ledger","High","Fast-Follow","3","Credit Ledger; Celery","credits;fast-follow"
"PG-065","Story","Buy additional credits","AI Credits & Cost Governance","Allocation, Purchase & Margin","PG-063","As a paid user or institution, I want to purchase additional credits via Razorpay, so that I can keep using AI features.","Razorpay checkout completes | Webhook signature verified before granting | Credits granted on success; idempotent on retries","High","Fast-Follow","5","Razorpay; Credit Ledger","credits;payments;fast-follow"
"PG-066","Story","Protect margins automatically","AI Credits & Cost Governance","Allocation, Purchase & Margin","PG-063","As a platform, I want to route or throttle AI when cost approaches plan economics, so that the business stays margin-positive.","Cost->credit map per (operation, model) | Threshold breach triggers cheaper routing and/or throttling | Margin ratio is monitored and alertable","High","Fast-Follow","5","ai_gateway; Credit Ledger","credits;ai;fast-follow"
"PG-067","Epic","Telegram Reminders & Engagement","Telegram Reminders & Engagement","","","Telegram-first habit automation and community (before WhatsApp).","","","","","","epic"
"PG-068","Feature","Bot Linking","Telegram Reminders & Engagement","Bot Linking","PG-067","Feature under Telegram Reminders & Engagement","","","","","","feature"
"PG-069","Story","Link my Telegram","Telegram Reminders & Engagement","Bot Linking","PG-068","As a student, I want to link my Telegram account to the platform, so that I receive reminders and practice links where I already are.","Linking flow via the bot completes | Opt-in captured; chat id stored | Unlink / opt-out supported","Highest","MVP","3","n8n","telegram;engagement;mvp"
"PG-070","Feature","Reminder Triggers","Telegram Reminders & Engagement","Reminder Triggers","PG-067","Feature under Telegram Reminders & Engagement","","","","","","feature"
"PG-071","Story","Receive habit reminders","Telegram Reminders & Engagement","Reminder Triggers","PG-070","As a student, I want to receive reminders for inactivity, weak topics, streak-at-risk, scheduled mocks and weekly motivation, so that I stay consistent until exam day.","Triggers fire on conditions (24h inactive; accuracy < 50%; streak at risk; mock day; Sunday) | Messages are frequency-capped and respect opt-in | Sends are idempotent (no duplicates)","Highest","MVP","5","n8n; Celery; Result Analytics","telegram;engagement;mvp"
"PG-072","Story","Get practice links & summaries","Telegram Reminders & Engagement","Reminder Triggers","PG-070","As a student, I want to get my daily practice link and score summaries via Telegram, so that I can act immediately.","Daily practice link delivered | Score summary sent after mocks | Weekly performance report delivered","Highest","MVP","3","Daily Practice; Result Analytics","telegram;engagement;mvp"
"PG-073","Epic","Content Review Workflow","Content Review Workflow","","","Human review gate that keeps all content trustworthy; AI content is always Draft.","","","","","","epic"
"PG-074","Feature","Review Queue & State Machine","Content Review Workflow","Review Queue & State Machine","PG-073","Feature under Content Review Workflow","","","","","","feature"
"PG-075","Story","Work a review queue","Content Review Workflow","Review Queue & State Machine","PG-074","As a content reviewer, I want to see a queue of draft questions to review, so that I can review content efficiently.","Drafts from AI, manual and extraction listed | Filter by exam, origin and status | Reviewer can claim an item","Highest","MVP","3","Question Bank; RBAC","contentops;mvp"
"PG-076","Story","Review, edit, approve or reject","Content Review Workflow","Review Queue & State Machine","PG-074","As a content reviewer, I want to edit, approve or reject a question with comments, so that quality is controlled before publish.","Transitions draft -> in_review -> approved/rejected enforced server-side | Rejection returns the item to draft with a reason | Every transition is logged","Highest","MVP","5","Review Queue","contentops;mvp"
"PG-077","Story","SME-validate hard items","Content Review Workflow","Review Queue & State Machine","PG-074","As a SME, I want to validate difficult or exam-specific questions, so that accuracy and syllabus alignment are assured.","Flagged items route to sme_review | SME approve/reject recorded as an approval at the SME level","High","Fast-Follow","3","Review Queue","contentops;fast-follow"
"PG-078","Feature","Publish & Audit","Content Review Workflow","Publish & Audit","PG-073","Feature under Content Review Workflow","","","","","","feature"
"PG-079","Story","Publish approved content","Content Review Workflow","Publish & Audit","PG-078","As a content manager, I want to publish approved questions, so that students can access trusted content.","Only approved items can be published | Official vs AI-generated content is visually distinguishable | Items that failed validation cannot be published","Highest","MVP","3","Review state machine","contentops;mvp"
"PG-080","Story","Audit all review actions","Content Review Workflow","Publish & Audit","PG-078","As a platform, I want to keep an immutable audit trail of review actions, so that we have accountability for content decisions.","who/when/from->to/reason recorded for every transition | Log is append-only","Highest","MVP","2","Review state machine","contentops;audit;mvp"
"PG-081","Feature","AI Generation","Content Review Workflow","AI Generation","PG-073","Feature under Content Review Workflow","","","","","","feature"
"PG-082","Story","Generate draft questions","Content Review Workflow","AI Generation","PG-081","As a content manager, I want to generate draft questions constrained by exam config, so that I can expand the bank efficiently without losing trust.","Generation follows syllabus, blueprint, topic & difficulty distribution and objectives | Output validated (schema, pgvector dedup, syllabus alignment) before becoming a Draft | Generated content is ALWAYS Draft and never auto-published | Generation is credit-charged via the ledger","High","Fast-Follow","8","ai_gateway; AI Credits; Exam config","contentops;ai;fast-follow"
"PG-083","Epic","Institution Platform","Institution Platform","","","Multi-tenant coaching-centre product: dashboards, batch analytics, custom mocks, white-label and pooled credits.","","","","","","epic"
"PG-084","Feature","Onboarding & Batches","Institution Platform","Onboarding & Batches","PG-083","Feature under Institution Platform","","","","","","feature"
"PG-085","Story","Onboard institution & batches","Institution Platform","Onboarding & Batches","PG-084","As a institution admin, I want to onboard my institution and create batches with students and teachers, so that I can organize my coaching centre.","Institution and batches created | Students and teachers added via memberships (single membership model with role) | All data is tenant-isolated by institution_id","Medium","Post-MVP","5","RBAC; Multi-tenancy","institution;post-mvp"
"PG-086","Feature","Institution Dashboard","Institution Platform","Institution Dashboard","PG-083","Feature under Institution Platform","","","","","","feature"
"PG-087","Story","View batch dashboard","Institution Platform","Institution Dashboard","PG-086","As a teacher, I want to see my batch's performance, weak students, attendance and practice completion, so that I can intervene where students need help.","Scoped strictly to my own batches | Shows performance, weak students, attendance and practice completion | No cross-tenant data is ever returned","Medium","Post-MVP","8","Onboarding & Batches; Result Analytics","institution;dashboard;post-mvp"
"PG-088","Feature","Institution Analytics","Institution Platform","Institution Analytics","PG-083","Feature under Institution Platform","","","","","","feature"
"PG-089","Story","View batch analytics","Institution Platform","Institution Analytics","PG-088","As a teacher, I want to see topic-level performance, class trends and cohort comparison, so that I can target my teaching.","Topic-level performance and class trends shown | Cohort comparison supported | Reuses the analytics engine scoped by batch (no forked logic)","Medium","Post-MVP","8","Result Analytics; Institution Dashboard","institution;analytics;post-mvp"
"PG-090","Feature","Custom Mocks & White-label","Institution Platform","Custom Mocks & White-label","PG-083","Feature under Institution Platform","","","","","","feature"
"PG-091","Story","Create custom mock tests","Institution Platform","Custom Mocks & White-label","PG-090","As a teacher, I want to assemble custom mock tests from approved questions and assign them to my batch, so that I can assess on my own schedule.","Mocks assembled from approved questions only | Assigned to a batch; exam-config-aware","Medium","Post-MVP","5","Exam Engine; Content Review","institution;post-mvp"
"PG-092","Story","Apply white-label branding","Institution Platform","Custom Mocks & White-label","PG-090","As a institution admin, I want to apply my institution's branding to the student experience, so that the experience reflects my brand.","Branding (logo/theme) applied at the frontend | Scoped per institution","Medium","Post-MVP","3","Onboarding & Batches","institution;post-mvp"
"PG-093","Feature","Pooled Credits","Institution Platform","Pooled Credits","PG-083","Feature under Institution Platform","","","","","","feature"
"PG-094","Story","Manage pooled AI credits","Institution Platform","Pooled Credits","PG-093","As a institution admin, I want to use pooled AI credits across my members and buy more, so that I control AI spend for my centre.","Single institution credit account | Member AI usage debits the pool | Additional credits purchasable via Razorpay | Usage dashboard available","Medium","Post-MVP","5","AI Credits ledger; Razorpay","institution;credits;post-mvp"
"PG-095","Epic","Admin Portal","Admin Portal","","","Operations and configuration via Django Admin: exams, users, content, mocks and platform health.","","","","","","epic"
"PG-096","Feature","Exam Configuration","Admin Portal","Exam Configuration","PG-095","Feature under Admin Portal","","","","","","feature"
"PG-097","Story","Configure exams as data","Admin Portal","Exam Configuration","PG-096","As a platform admin, I want to configure exams (subjects, topics, subtopics, syllabus, difficulty, rules, blueprint, passing criteria, analytics rules) as data, so that new exams onboard without code changes.","Full exam-config CRUD available | Config drives the engines (no hardcoded exam logic) | audience_is_minor flag supported | Adding a new exam requires no deployment","Highest","MVP","8","PostgreSQL; Django Admin","admin;config;mvp"
"PG-098","Feature","Platform Management","Admin Portal","Platform Management","PG-095","Feature under Admin Portal","","","","","","feature"
"PG-099","Story","Manage users & roles","Admin Portal","Platform Management","PG-098","As a platform admin, I want to view, search, suspend and assign roles to users, so that I can operate the platform safely.","List/search users | Assign roles; suspend/reactivate | Actions are audited","Highest","MVP","3","RBAC","admin;mvp"
"PG-100","Story","Manage content structure & mocks","Admin Portal","Platform Management","PG-098","As a platform admin, I want to manage subjects, topics, questions and mock tests via admin, so that content structure stays maintained.","CRUD on subjects/topics/questions/mocks via Django Admin | Respects review/publish rules","Highest","MVP","3","Question Bank","admin;mvp"
"PG-101","Story","Oversee AI content & platform health","Admin Portal","Platform Management","PG-098","As a platform admin, I want to access the AI-content review queue and a platform analytics dashboard, so that I can oversee quality and health.","AI review queue accessible from admin | Platform KPIs shown (active users, attempts, conversion, AI cost)","High","Fast-Follow","5","Content Review; Result Analytics; AI Credits","admin;fast-follow"
